VISITOR ARRIVALS BY COUNTRY OF RESIDENCE AND MODE OF TRANSPORT - 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONTH,  JANUARY,,,FEBRUARY,,,MARCH,,,TOT     Q1,,,APRIL,,,MAY,,,JUNE,,,  TOT      Q2,,,JULY,,,AUGUST,,,SEPTEMBER,,,  TOT      Q3,,,OCTOBER,,,NOVEMBER,,,DECEMBER,,,  TOT      Q4,,, ANNUAL, ANNUAL,  ANNUAL,,
COUNTRY,AIR,SEA, TOT, AIR, SEA, TOT,  AIR, SEA, TOT,  AIR,   SEA, TOTAL,  AIR, SEA, TOT,  AIR, SEA, TOT,  AIR, SEA, TOT,  AIR,   SEA, TOTAL,  AIR, SEA, TOT,  AIR, SEA, TOT,  AIR, SEA, TOT,  AIR,   SEA, TOTAL,  AIR, SEA, TOT,  AIR, SEA, TOT,  AIR, SEA, TOT,  AIR,   SEA, TOTAL,    AIR,    SEA,TOTAL,,
 Ireland , 25 , 4 , 29 , 81 , 3 , 84 , 71 , -   , 71 , 177 , 7 , 184 , 73 , 2 , 75 , 102 , -   , 102 , 79 , -   , 79 , 254 , 2 , 256 , 104 , -   , 104 , 45 , -   , 45 , 91 , 1 , 92 , 240 , 1 , 241 , 84 , -   , 84 , 92 , -   , 92 , 55 , 5 , 60 , 231 , 5 , 236 , 902 , 15 , 917 ,,
 Isle of Man , -   , -   , -   , -   , -   , -   , 4 , -   , 4 , 4 , -   , 4 , -   , -   , -   , -   , -   , -   , 3 , -   , 3 , 3 , -   , 3 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , 2 , 5 , -   , 5 , 7 , -   , 7 , 14 , -   , 14 ,,
 Jersey , -   , -   , -   , -   , -   , -   , 2 , -   , 2 , 2 , -   , 2 , 2 , -   , 2 , 6 , -   , 6 , 5 , -   , 5 , 13 , -   , 13 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 15 , -   , 15 ,,
 Latvia , 32 , -   , 32 , 55 , -   , 55 , 68 , -   , 68 , 155 , -   , 155 , 46 , 2 , 48 , 35 , -   , 35 , 12 , -   , 12 , 93 , 2 , 95 , 15 , -   , 15 , 12 , -   , 12 , 11 , -   , 11 , 38 , -   , 38 , 86 , -   , 86 , 43 , -   , 43 , 72 , -   , 72 , 201 , -   , 201 , 487 , 2 , 489 ,,
 Lithuania , 83 , -   , 83 , 121 , 1 , 122 , 81 , 1 , 82 , 285 , 2 , 287 , 20 , -   , 20 , 32 , -   , 32 , 42 , -   , 42 , 94 , -   , 94 , 23 , -   , 23 , 30 , -   , 30 , 35 , -   , 35 , 88 , -   , 88 , 78 , -   , 78 , 47 , -   , 47 , 86 , -   , 86 , 211 , -   , 211 , 678 , 2 , 680 ,,
 Northern Ireland (1) , 6 , -   , 6 , 4 , -   , 4 , -   , -   , -   , 10 , -   , 10 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , -   , 10 ,,
 Norway , 45 , -   , 45 , 114 , -   , 114 , 95 , -   , 95 , 254 , -   , 254 , 220 , 1 , 221 , 104 , -   , 104 , 107 , -   , 107 , 431 , 1 , 432 , 282 , 1 , 283 , 94 , -   , 94 , 128 , -   , 128 , 504 , 1 , 505 , 201 , -   , 201 , 104 , -   , 104 , 207 , -   , 207 , 512 , -   , 512 ," 1,701 ", 2 ," 1,703 ",,
 Sark , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
 Svalbard and Jan Mayen Islands , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
 Sweden , 174 , 3 , 177 , 250 , 7 , 257 , 236 , -   , 236 , 660 , 10 , 670 , 402 , -   , 402 , 114 , -   , 114 , 127 , -   , 127 , 643 , -   , 643 , 174 , -   , 174 , 65 , -   , 65 , 83 , -   , 83 , 322 , -   , 322 , 444 , 1 , 445 , 454 , -   , 454 , 582 , 4 , 586 ," 1,480 ", 5 ," 1,485 "," 3,105 ", 15 ," 3,120 ",,
